Token Mapping Log for bert-base-multilingual-uncased
Total BERT Tokens: 57207
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
  213 | NOTE_OFF_44   |   48.30% |        49438 | pj         | 48.29% |        140
  214 | NOTE_ON_85    |   48.86% |        47421 | pizza      | 48.86% |        136
  215 | NOTE_OFF_85   |   49.43% |        47421 | ##trica    | 49.43% |        133
  216 | NOTE_ON_41    |   50.00% |        42115 | noter      | 50.00% |        130
  217 | NOTE_OFF_41   |   50.57% |        42115 | hansa      | 50.57% |        126
  218 | NOTE_ON_87    |   51.14% |        42012 | poema      | 51.14% |        123
  219 | NOTE_OFF_87   |   51.70% |        42012 | ##duction  | 51.71% |        119
  220 | NOTE_ON_88    |   52.27% |        38677 | extranjero | 52.27% |        116
  221 | NOTE_OFF_88   |   52.84% |        38677 | bloody     | 52.84% |        113
  222 | NOTE_ON_42    |   53.41% |        34174 | counting   | 53.41% |        110
  223 | NOTE_OFF_42   |   53.98% |        34174 | sagrado    | 53.98% |        106
  224 | NOTE_ON_89    |   54.55% |        33893 | integrar   | 54.55% |        103
  225 | NOTE_OFF_89   |   55.11% |        33893 | farewell   | 55.11% |         99
  226 | NOTE_ON_40    |   55.68% |        33516 | ##kami     | 55.68% |         96
  227 | NOTE_OFF_40   |   56.25% |        33516 | quran      | 56.25% |         93
  228 | NOTE_ON_36    |   56.82% |        30616 | ##tuvieron | 56.82% |         90
  229 | NOTE_OFF_36   |   57.39% |        30616 | brons      | 57.39% |         87
  230 | NOTE_ON_39    |   57.95% |        30324 | berichten  | 57.95% |         84
  231 | NOTE_OFF_39   |   58.52% |        30324 | junkers    | 58.52% |         80
  232 | NOTE_ON_38    |   59.09% |        29290 | turca      | 59.09% |         77
  233 | NOTE_OFF_38   |   59.66% |        29290 | svet       | 59.66% |         73
  234 | NOTE_ON_91    |   60.23% |        25666 | 1513       | 60.23% |         71
  235 | NOTE_OFF_91   |   60.80% |        25666 | dago       | 60.80% |         68
  236 | NOTE_ON_90    |   61.36% |        25490 | 1382       | 61.36% |         65
  237 | NOTE_OFF_90   |   61.93% |        25490 | millet     | 61.93% |         62
  238 | NOTE_ON_37    |   62.50% |        24974 | ##iantes   | 62.50% |         58
  239 | NOTE_OFF_37   |   63.07% |        24974 | sange      | 63.07% |         56
  240 | NOTE_ON_92    |   63.64% |        22391 | optica     | 63.64% |         53
  241 | NOTE_OFF_92   |   64.20% |        22391 | ##talen    | 64.20% |         50
  242 | NOTE_ON_33    |   64.77% |        20509 | ##renia    | 64.77% |         47
  243 | NOTE_OFF_33   |   65.34% |        20509 | duz        | 65.34% |         45
  244 | NOTE_ON_93    |   65.91% |        19149 | encontram  | 65.91% |         42
  245 | NOTE_OFF_93   |   66.48% |        19149 | ##gging    | 66.48% |         40
  246 | NOTE_ON_35    |   67.05% |        18470 | violenta   | 67.05% |         37
  247 | NOTE_OFF_35   |   67.61% |        18470 | misericordia | 67.61% |         34
  248 | NOTE_ON_34    |   68.18% |        18426 | ##alet     | 68.18% |         31
  249 | NOTE_OFF_34   |   68.75% |        18426 | ibge       | 68.75% |         29
  250 | NOTE_ON_94    |   69.32% |        17062 | ##ر        | 69.32% |         26
  251 | NOTE_OFF_94   |   69.89% |        17062 | ##bny      | 69.89% |         24
  252 | NOTE_ON_32    |   70.45% |        14373 | velho      | 70.45% |         21
  253 | NOTE_OFF_32   |   71.02% |        14373 | ##kry      | 71.02% |         19
  254 | NOTE_ON_31    |   71.59% |        12965 | ##risk     | 71.59% |         17
  255 | NOTE_OFF_31   |   72.16% |        12965 | planten    | 72.16% |         15
