Token Mapping Log for bert-base-uncased
Total BERT Tokens: 28826
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
  154 | NOTE_ON_55    |   14.77% |       124397 | ##usa      | 14.77% |       1221
  155 | NOTE_OFF_55   |   15.34% |       124397 | 2010s      | 15.34% |       1168
  156 | NOTE_ON_61    |   15.91% |       122697 | ##aki      | 15.91% |       1120
  157 | NOTE_OFF_61   |   16.48% |       122697 | charlotte  | 16.48% |       1076
  158 | NOTE_ON_71    |   17.05% |       116588 | ##rian     | 17.05% |       1028
  159 | NOTE_OFF_71   |   17.61% |       116588 | theo       | 17.61% |        987
  160 | NOTE_ON_66    |   18.18% |       116410 | commerce   | 18.18% |        952
  161 | NOTE_OFF_66   |   18.75% |       116410 | anglican   | 18.75% |        918
  162 | NOTE_ON_59    |   19.32% |       114567 | odd        | 19.32% |        888
  163 | NOTE_OFF_59   |   19.89% |       114567 | modified   | 19.88% |        859
  164 | NOTE_ON_73    |   20.45% |       113463 | camps      | 20.45% |        829
  165 | NOTE_OFF_73   |   21.02% |       113463 | 167        | 21.02% |        803
  166 | NOTE_ON_76    |   21.59% |       109753 | raymond    | 21.59% |        777
  167 | NOTE_OFF_76   |   22.16% |       109753 | challenges | 22.16% |        750
  168 | NOTE_ON_56    |   22.73% |       109079 | drafted    | 22.73% |        729
  169 | NOTE_OFF_56   |   23.30% |       109079 | columbus   | 23.29% |        707
  170 | NOTE_ON_75    |   23.86% |       108413 | nephew     | 23.86% |        688
  171 | NOTE_OFF_75   |   24.43% |       108413 | veterinary | 24.43% |        669
  172 | NOTE_ON_77    |   25.00% |       107537 | scar       | 25.00% |        651
  173 | NOTE_OFF_77   |   25.57% |       107537 | brunswick  | 25.57% |        632
  174 | NOTE_ON_53    |   26.14% |       104722 | canyon     | 26.14% |        616
  175 | NOTE_OFF_53   |   26.70% |       104722 | ##ridge    | 26.71% |        601
  176 | NOTE_ON_79    |   27.27% |        98942 | ##rama     | 27.27% |        583
  177 | NOTE_OFF_79   |   27.84% |        98942 | dragons    | 27.84% |        567
  178 | NOTE_ON_50    |   28.41% |        92426 | upcoming   | 28.41% |        552
  179 | NOTE_OFF_50   |   28.98% |        92426 | ##wski     | 28.98% |        540
  180 | NOTE_ON_52    |   29.55% |        90956 | kazakhstan | 29.55% |        527
  181 | NOTE_OFF_52   |   30.11% |        90956 | retreat    | 30.12% |        512
  182 | NOTE_ON_54    |   30.68% |        84631 | auxiliary  | 30.68% |        499
  183 | NOTE_OFF_54   |   31.25% |        84631 | bengali    | 31.25% |        487
  184 | NOTE_ON_78    |   31.82% |        82586 | institutional | 31.82% |        475
  185 | NOTE_OFF_78   |   32.39% |        82586 | abbot      | 32.39% |        465
  186 | NOTE_ON_51    |   32.95% |        81361 | costume    | 32.95% |        453
  187 | NOTE_OFF_51   |   33.52% |        81361 | stark      | 33.52% |        442
  188 | NOTE_ON_81    |   34.09% |        80789 | ml         | 34.09% |        431
  189 | NOTE_OFF_81   |   34.66% |        80789 | sitcom     | 34.66% |        422
  190 | NOTE_ON_48    |   35.23% |        80623 | poetic     | 35.23% |        412
  191 | NOTE_OFF_48   |   35.80% |        80623 | catalan    | 35.79% |        402
  192 | NOTE_ON_80    |   36.36% |        79080 | ##fire     | 36.36% |        393
  193 | NOTE_OFF_80   |   36.93% |        79080 | ceiling    | 36.93% |        385
  194 | NOTE_ON_82    |   37.50% |        65820 | accompanying | 37.50% |        376
  195 | NOTE_OFF_82   |   38.07% |        65820 | ##dium     | 38.07% |        368
  196 | NOTE_ON_49    |   38.64% |        63822 | ##bing     | 38.64% |        359
  197 | NOTE_OFF_49   |   39.20% |        63822 | vernon     | 39.20% |        351
  198 | NOTE_ON_84    |   39.77% |        60671 | apprentice | 39.77% |        344
  199 | NOTE_OFF_84   |   40.34% |        60671 | fantastic  | 40.34% |        336
  200 | NOTE_ON_45    |   40.91% |        59781 | ##gren     | 40.91% |        330
  201 | NOTE_OFF_45   |   41.48% |        59781 | conquered  | 41.48% |        323
  202 | NOTE_ON_83    |   42.05% |        58651 | teamed     | 42.05% |        318
  203 | NOTE_OFF_83   |   42.61% |        58651 | console    | 42.61% |        312
  204 | NOTE_ON_46    |   43.18% |        57611 | ##ᅮ        | 43.18% |        306
  205 | NOTE_OFF_46   |   43.75% |        57611 | pump       | 43.75% |        301
  206 | NOTE_ON_47    |   44.32% |        56740 | ##naire    | 44.32% |        294
  207 | NOTE_OFF_47   |   44.89% |        56740 | neon       | 44.89% |        289
  208 | NOTE_ON_43    |   45.45% |        54980 | coliseum   | 45.46% |        284
  209 | NOTE_OFF_43   |   46.02% |        54980 | bergman    | 46.02% |        279
  210 | NOTE_ON_86    |   46.59% |        49666 | cube       | 46.59% |        274
  211 | NOTE_OFF_86   |   47.16% |        49666 | cancel     | 47.16% |        268
  212 | NOTE_ON_44    |   47.73% |        49438 | regards    | 47.73% |        263
  213 | NOTE_OFF_44   |   48.30% |        49438 | pharmacy   | 48.30% |        259
  214 | NOTE_ON_85    |   48.86% |        47421 | cory       | 48.86% |        254
  215 | NOTE_OFF_85   |   49.43% |        47421 | ##forth    | 49.43% |        249
  216 | NOTE_ON_41    |   50.00% |        42115 | ##iny      | 50.00% |        244
  217 | NOTE_OFF_41   |   50.57% |        42115 | ##sdale    | 50.57% |        240
  218 | NOTE_ON_87    |   51.14% |        42012 | rigid      | 51.14% |        235
  219 | NOTE_OFF_87   |   51.70% |        42012 | lawson     | 51.70% |        231
  220 | NOTE_ON_88    |   52.27% |        38677 | drought    | 52.27% |        227
  221 | NOTE_OFF_88   |   52.84% |        38677 | essence    | 52.84% |        223
  222 | NOTE_ON_42    |   53.41% |        34174 | enforced   | 53.41% |        219
  223 | NOTE_OFF_42   |   53.98% |        34174 | raced      | 53.98% |        216
  224 | NOTE_ON_89    |   54.55% |        33893 | arid       | 54.54% |        213
  225 | NOTE_OFF_89   |   55.11% |        33893 | motifs     | 55.11% |        209
  226 | NOTE_ON_40    |   55.68% |        33516 | τ          | 55.68% |        206
  227 | NOTE_OFF_40   |   56.25% |        33516 | unification | 56.25% |        202
  228 | NOTE_ON_36    |   56.82% |        30616 | builders   | 56.82% |        198
  229 | NOTE_OFF_36   |   57.39% |        30616 | ##amy      | 57.39% |        195
  230 | NOTE_ON_39    |   57.95% |        30324 | wildcats   | 57.95% |        191
  231 | NOTE_OFF_39   |   58.52% |        30324 | ¦          | 58.52% |        189
  232 | NOTE_ON_38    |   59.09% |        29290 | christoph  | 59.09% |        186
  233 | NOTE_OFF_38   |   59.66% |        29290 | monumental | 59.66% |        182
  234 | NOTE_ON_91    |   60.23% |        25666 | ##iji      | 60.23% |        179
  235 | NOTE_OFF_91   |   60.80% |        25666 | confidential | 60.80% |        177
  236 | NOTE_ON_90    |   61.36% |        25490 | 254        | 61.36% |        174
  237 | NOTE_OFF_90   |   61.93% |        25490 | install    | 61.93% |        171
  238 | NOTE_ON_37    |   62.50% |        24974 | weekends   | 62.50% |        168
  239 | NOTE_OFF_37   |   63.07% |        24974 | culinary   | 63.07% |        165
  240 | NOTE_ON_92    |   63.64% |        22391 | mahmud     | 63.64% |        163
  241 | NOTE_OFF_92   |   64.20% |        22391 | unnecessary | 64.21% |        160
  242 | NOTE_ON_33    |   64.77% |        20509 | ##chrome   | 64.77% |        157
  243 | NOTE_OFF_33   |   65.34% |        20509 | psalm      | 65.34% |        155
  244 | NOTE_ON_93    |   65.91% |        19149 | instructors | 65.91% |        152
  245 | NOTE_OFF_93   |   66.48% |        19149 | guerra     | 66.48% |        150
  246 | NOTE_ON_35    |   67.05% |        18470 | ##achal    | 67.05% |        148
  247 | NOTE_OFF_35   |   67.61% |        18470 | dmitri     | 67.61% |        146
  248 | NOTE_ON_34    |   68.18% |        18426 | ##pping    | 68.18% |        143
  249 | NOTE_OFF_34   |   68.75% |        18426 | frail      | 68.75% |        141
  250 | NOTE_ON_94    |   69.32% |        17062 | ito        | 69.32% |        138
  251 | NOTE_OFF_94   |   69.89% |        17062 | vanilla    | 69.88% |        136
  252 | NOTE_ON_32    |   70.45% |        14373 | switches   | 70.45% |        134
  253 | NOTE_OFF_32   |   71.02% |        14373 | ##body     | 71.02% |        131
  254 | NOTE_ON_31    |   71.59% |        12965 | vertebrae  | 71.59% |        130
  255 | NOTE_OFF_31   |   72.16% |        12965 | ##reus     | 72.16% |        128
